"sub","condition","group","cond_order","n_com_rew","n_com_unrew","n_rare_rew","n_rare_unrew","p_com_rew","p_com_unrew","p_rare_rew","p_rare_unrew","mb_score","mf_score","age_z"
2,"NT","HC","NTfirst",50,35,12,28,0.961538461538462,0.660377358490566,0.8,0.933333333333333,0.434494436381229,0.167827769714562,1.65972832402412
3,"NT","HC","BIDfirst",53,31,15,16,0.981481481481482,0.543859649122807,0.9375,0.695652173913043,0.195774006271718,0.679469658445631,-0.505134707311687
6,"NT","HC","NTfirst",65,28,18,28,0.984848484848485,0.8,1,0.903225806451613,0.0880742913000977,0.281622678396872,0.144324202089054
7,"NT","ED","NTfirst",42,48,18,29,0.933333333333333,0.872727272727273,0.947368421052632,0.935483870967742,0.048721510521171,0.0724906106909505,0.748292744892968
10,"NT","ED","BIDfirst",53,31,23,11,0.868852459016393,0.659574468085106,1,0.6875,-0.103222009068713,0.521777990931287,0.973388936446137
11,"NT","HC","BIDfirst",49,43,11,10,0.765625,0.781818181818182,0.733333333333333,0.666666666666667,-0.0828598484848485,0.0504734848484849,-0.0721621010445265
12,"NT","HC","BIDfirst",52,38,16,15,0.912280701754386,0.730769230769231,0.941176470588235,0.652173913043478,-0.107491086559602,0.470514028529912,1.8762146271577
13,"NT","HC","BIDfirst",47,31,27,17,0.979166666666667,0.645833333333333,1,0.62962962962963,-0.0370370370370371,0.703703703703703,-0.0721621010445265
14,"NT","ED","NTfirst",57,22,19,10,0.863636363636364,0.488888888888889,0.791666666666667,0.666666666666667,0.249747474747475,0.499747474747475,1.19848512799931
15,"NT","ED","NTfirst",51,18,13,8,0.708333333333333,0.439024390243902,0.65,0.615384615384615,0.234693558474046,0.303924327704816,-0.827380595979217
16,"NT","ED","BIDfirst",64,34,21,24,0.955223880597015,0.944444444444444,0.954545454545455,0.96,0.0162339816071159,0.00532489069802522,0.523196553339799
17,"NT","ED","BIDfirst",59,35,31,16,0.967213114754098,0.853658536585366,1,0.941176470588235,0.0547310487569678,0.172378107580497,0.523196553339799
18,"NT","HC","NTfirst",58,28,23,17,0.90625,0.717948717948718,0.851851851851852,0.944444444444444,0.280893874643875,0.0957086894586896,0.793783111489795
19,"NT","ED","NTfirst",49,37,18,18,0.765625,0.880952380952381,1,0.72,-0.395327380952381,0.164672619047619,1.64867751110564
20,"NT","ED","NTfirst",47,51,19,13,0.810344827586207,0.927272727272727,0.904761904761905,1,-0.0216898044484251,-0.212165994924616,-1.50266917063872
22,"NT","ED","BIDfirst",51,23,19,18,0.879310344827586,0.621621621621622,0.76,0.6,0.0976887232059646,0.417688723205965,-0.827380595979217
23,"NT","HC","BIDfirst",32,28,14,17,0.542372881355932,0.622222222222222,0.583333333333333,0.772727272727273,0.109544598527649,-0.269243280260229,-0.938107313578848
24,"NT","ED","BIDfirst",41,28,25,10,0.836734693877551,0.528301886792453,0.892857142857143,0.5,-0.0844243357720447,0.701289949942241,-0.152092021319709
25,"NT","HC","BIDfirst",55,32,21,18,0.964912280701754,0.695652173913043,0.954545454545455,0.72,0.0347146522432563,0.503805561334165,0.144324202089054
26,"NT","HC","BIDfirst",74,30,24,14,0.986666666666667,0.909090909090909,1,0.875,-0.0474242424242424,0.202575757575758,0.577296808356215
27,"NT","ED","BIDfirst",56,34,14,23,0.918032786885246,0.790697674418605,0.875,0.793103448275862,0.0454385607425034,0.209231664190779,-1.50266917063872
28,"NT","HC","BIDfirst",64,27,7,18,0.955223880597015,0.627906976744186,0.388888888888889,0.9,0.83842801496394,-0.183794207258282,-0.938107313578848
29,"NT","HC","NTfirst",46,37,16,15,0.851851851851852,0.685185185185185,0.761904761904762,0.833333333333333,0.238095238095238,0.0952380952380951,-0.938107313578848
30,"NT","HC","NTfirst",50,43,16,21,0.980392156862745,0.767857142857143,1,0.777777777777778,-0.00968720821662006,0.434757236227825,1.22675571775696
32,"NT","ED","BIDfirst",41,49,18,18,0.82,0.890909090909091,0.818181818181818,0.782608695652174,-0.106482213438735,-0.0353359683794466,0.748292744892968
33,"NT","ED","BIDfirst",46,37,29,17,0.938775510204082,0.74,1,0.772727272727273,-0.0284972170686456,0.426048237476809,0.298100361786629
35,"NT","HC","NTfirst",44,35,29,19,0.956521739130435,0.760869565217391,1,0.655172413793103,-0.149175412293853,0.54047976011994,0.793783111489795
36,"NT","ED","BIDfirst",50,59,13,20,0.961538461538462,0.983333333333333,0.722222222222222,1,0.255982905982906,-0.29957264957265,0.973388936446137
37,"NT","HC","NTfirst",60,30,26,21,0.983606557377049,0.810810810810811,1,0.807692307692308,-0.019511945741454,0.365103438873931,-1.15459361671243
38,"NT","ED","NTfirst",41,62,11,19,0.854166666666667,0.953846153846154,0.785714285714286,0.863636363636364,-0.0217574092574093,-0.177601565101565,1.42358131955248
39,"NT","ED","NTfirst",58,20,24,10,0.983050847457627,0.465116279069767,0.923076923076923,0.526315789473684,0.121173434784621,0.914695701991099,-0.827380595979217
40,"NT","HC","BIDfirst",51,25,18,17,0.82258064516129,0.543478260869565,0.947368421052632,0.739130434782609,0.0708643980217023,0.487340370561748,0.360810505222634
41,"NT","HC","NTfirst",43,32,26,18,0.934782608695652,0.64,0.866666666666667,0.75,0.178115942028986,0.411449275362319,0.144324202089054
42,"NT","HC","BIDfirst",42,25,18,10,0.857142857142857,0.480769230769231,0.818181818181818,0.4,-0.0418081918081919,0.794555444555444,-0.721621010445268
43,"NT","HC","BIDfirst",70,24,26,19,0.972222222222222,0.8,0.896551724137931,1,0.275670498084291,0.0687739463601533,-1.15459361671243
44,"NT","ED","NTfirst",24,25,15,14,0.5,0.490196078431373,0.6,0.56,-0.0301960784313724,0.0498039215686275,0.973388936446137
46,"NT","ED","NTfirst",0,2,0,0,0,0.0555555555555556,0,0,-0.0555555555555556,-0.0555555555555556,0.748292744892968
47,"NT","HC","NTfirst",39,14,21,10,0.735849056603774,0.325581395348837,0.724137931034483,0.4,0.0861297302204536,0.734405592289419,-0.0721621010445265
48,"NT","HC","BIDfirst",48,34,27,28,0.905660377358491,0.918918918918919,0.9,0.96551724137931,0.052258699818882,-0.0787757829397386,-0.505134707311687
49,"NT","HC","NTfirst",65,17,34,11,0.984848484848485,0.53125,1,0.611111111111111,0.064709595959596,0.842487373737374,-0.0721621010445265
50,"NT","HC","BIDfirst",65,41,21,18,0.970149253731343,0.953488372093023,1,0.947368421052632,-0.0359706973090484,0.0692924605856885,-0.288648404178107
51,"NT","ED","BIDfirst",50,44,16,26,0.943396226415094,0.846153846153846,1,0.928571428571429,0.0258138088326768,0.16867095168982,1.64867751110564
52,"NT","ED","NTfirst",52,34,32,17,0.928571428571429,0.829268292682927,0.941176470588235,0.894736842105263,0.0528635074055297,0.145742764371474,-0.602284404426048
53,"NT","ED","BIDfirst",50,40,15,19,0.909090909090909,0.8,0.882352941176471,0.791666666666667,0.0184046345811051,0.199777183600713,0.07300417023346
54,"NT","HC","NTfirst",49,48,20,22,0.942307692307692,0.888888888888889,0.909090909090909,1,0.144327894327894,-0.0374902874902876,-0.721621010445268
55,"NT","ED","BIDfirst",65,30,14,14,0.984848484848485,0.625,0.636363636363636,1,0.723484848484849,-0.0037878787878789,1.64867751110564
56,"NT","ED","NTfirst",45,34,24,18,0.882352941176471,0.68,0.96,0.782608695652174,0.0249616368286445,0.379744245524296,-0.152092021319709
57,"NT","ED","BIDfirst",55,27,8,30,0.932203389830508,0.5625,0.727272727272727,0.9375,0.579930662557781,0.159476117103236,-0.152092021319709
59,"NT","ED","NTfirst",36,43,18,19,0.782608695652174,0.716666666666667,0.9,0.791666666666667,-0.0423913043478261,0.174275362318841,0.748292744892968
60,"NT","ED","NTfirst",34,41,15,21,0.790697674418605,0.719298245614035,0.882352941176471,0.67741935483871,-0.133534157533191,0.276333015142331,-0.377188212872879
61,"NT","HC","NTfirst",64,31,28,21,0.96969696969697,0.885714285714286,1,1,0.083982683982684,0.083982683982684,2.30918723342486
62,"NT","ED","NTfirst",47,35,17,18,0.886792452830189,0.729166666666667,0.85,0.642857142857143,-0.049517070979335,0.364768643306379,-1.05247678753239
64,"NT","ED","BIDfirst",40,36,24,12,0.975609756097561,0.580645161290323,0.96,0.545454545454545,-0.0195808597382162,0.809510049352693,-1.95286155374506
65,"NT","HC","BIDfirst",69,29,23,18,0.985714285714286,0.828571428571429,0.851851851851852,1,0.305291005291005,0.00899470899470911,-0.288648404178107
66,"NT","HC","BIDfirst",62,38,22,15,0.939393939393939,0.826086956521739,0.956521739130435,1,0.156785243741766,0.0698287220026352,-0.938107313578848
67,"NT","HC","NTfirst",53,31,28,13,0.981481481481482,0.607843137254902,1,0.764705882352941,0.138344226579521,0.608932461873638,1.65972832402412
68,"NT","ED","BIDfirst",38,29,21,21,0.791666666666667,0.69047619047619,0.65625,0.75,0.194940476190476,0.00744047619047605,-0.602284404426048
69,"NT","ED","BIDfirst",56,37,20,23,0.903225806451613,0.925,0.909090909090909,0.92,-0.0108651026392962,-0.0326832844574781,-1.05247678753239
70,"NT","ED","NTfirst",63,23,24,17,0.875,0.741935483870968,0.923076923076923,0.85,0.0599875930521091,0.206141439205955,0.973388936446137
71,"NT","HC","BIDfirst",66,32,20,20,0.970588235294118,0.8,0.909090909090909,1,0.261497326203209,0.0796791443850267,-0.721621010445268
72,"NT","HC","BIDfirst",56,29,12,11,0.96551724137931,0.725,0.387096774193548,0.55,0.403420467185762,0.0776140155728587,-1.15459361671243
73,"NT","ED","BIDfirst",53,40,26,17,0.963636363636364,0.888888888888889,0.896551724137931,0.80952380952381,-0.0122804398666467,0.161775389361596,-1.05247678753239
74,"NT","HC","BIDfirst",48,36,19,21,0.96,0.692307692307692,1,0.724137931034483,-0.00816976127320956,0.543554376657825,-0.721621010445268
75,"NT","ED","NTfirst",34,24,13,9,0.708333333333333,0.470588235294118,0.619047619047619,0.333333333333333,-0.04796918767507,0.523459383753502,-1.05247678753239
76,"NT","HC","NTfirst",56,38,12,23,0.933333333333333,0.826086956521739,0.666666666666667,0.92,0.360579710144928,-0.146086956521739,-1.37107991984601
77,"NT","ED","BIDfirst",54,43,26,21,0.981818181818182,0.934782608695652,0.962962962962963,0.954545454545455,0.0386180647050213,0.0554530815400378,0.07300417023346
78,"NT","HC","NTfirst",48,34,32,11,0.923076923076923,0.708333333333333,0.96969696969697,0.785714285714286,0.0307609057609057,0.398726273726274,-0.505134707311687
79,"NT","ED","NTfirst",53,24,29,9,0.981481481481482,0.461538461538462,0.966666666666667,0.642857142857143,0.196133496133496,0.843752543752544,-0.827380595979217
80,"NT","HC","NTfirst",65,44,19,16,0.970149253731343,0.977777777777778,1,1,-0.00762852404643444,-0.00762852404643455,1.22675571775696
81,"NT","ED","BIDfirst",39,32,22,24,0.886363636363636,0.64,0.814814814814815,0.827586206896552,0.259135028445373,0.233592244281899,-1.50266917063872
82,"NT","ED","BIDfirst",41,39,24,21,0.891304347826087,0.8125,0.827586206896552,0.807692307692308,0.0589104486218429,0.0986982470303308,0.07300417023346
83,"NT","HC","NTfirst",45,32,15,20,0.775862068965517,0.727272727272727,0.789473684210526,0.714285714285714,-0.0265986282320221,0.123777311617602,-0.938107313578848
84,"NT","HC","BIDfirst",39,55,31,13,0.951219512195122,0.964912280701754,0.939393939393939,1,0.0469132920994281,-0.074298829112693,1.8762146271577
2,"BID","HC","NTfirst",54,19,3,19,0.981818181818182,0.395833333333333,0.12,0.904761904761905,1.37074675324675,-0.198777056277056,1.65972832402412
3,"BID","HC","BIDfirst",54,28,19,10,0.931034482758621,0.528301886792453,0.95,0.555555555555556,0.00828815152172346,0.797177040410612,-0.505134707311687
6,"BID","HC","NTfirst",50,34,16,23,0.943396226415094,0.618181818181818,0.842105263157895,1,0.483109145075381,0.167319671391171,0.144324202089054
7,"BID","ED","NTfirst",50,38,31,13,0.980392156862745,0.775510204081633,1,0.684210526315789,-0.110907520903098,0.520671426465323,0.748292744892968
10,"BID","ED","BIDfirst",53,38,23,17,0.929824561403509,0.844444444444444,0.92,0.80952380952381,-0.0250960735171262,0.195856307435255,0.973388936446137
11,"BID","HC","BIDfirst",44,38,20,23,0.846153846153846,0.808510638297872,0.869565217391304,0.92,0.0880779904646696,-0.0127915747527219,-0.0721621010445265
12,"BID","HC","BIDfirst",69,30,21,15,0.958333333333333,0.810810810810811,0.954545454545455,0.789473684210526,-0.0175492478124057,0.312594292857451,1.8762146271577
13,"BID","HC","BIDfirst",56,27,18,11,0.933333333333333,0.692307692307692,1,0.34375,-0.415224358974359,0.897275641025641,-0.0721621010445265
14,"BID","ED","NTfirst",56,34,19,14,0.982456140350877,0.739130434782609,0.904761904761905,0.538461538461538,-0.122974660732098,0.609626071868635,1.19848512799931
15,"BID","ED","NTfirst",38,30,18,9,0.703703703703704,0.612244897959184,0.782608695652174,0.391304347826087,-0.299845542081567,0.482763153570607,-0.827380595979217
16,"BID","ED","BIDfirst",64,32,22,29,0.984615384615385,1,1,1,-0.0153846153846153,-0.0153846153846153,0.523196553339799
17,"BID","ED","BIDfirst",59,35,25,15,0.880597014925373,0.833333333333333,1,0.9375,-0.0152363184079602,0.10976368159204,0.523196553339799
18,"BID","HC","NTfirst",41,47,19,24,0.953488372093023,0.839285714285714,0.76,0.923076923076923,0.277279580884232,-0.048874265269614,0.793783111489795
19,"BID","ED","NTfirst",38,48,19,12,0.791666666666667,0.774193548387097,0.826086956521739,0.705882352941177,-0.102731485300993,0.137677721860132,1.64867751110564
20,"BID","ED","NTfirst",36,41,20,19,0.679245283018868,0.854166666666667,0.8,0.826086956521739,-0.14883442712606,-0.201008340169538,-1.50266917063872
22,"BID","ED","BIDfirst",36,37,14,13,0.8,0.587301587301587,0.823529411764706,0.541666666666667,-0.0691643323996265,0.494561157796452,-0.827380595979217
