"sub","condition","group","cond_order","n_com_rew","n_com_unrew","n_rare_rew","n_rare_unrew","p_com_rew","p_com_unrew","p_rare_rew","p_rare_unrew","mb_score","mf_score","age_z"
7,"NT","ED","NTfirst",64,40,17,19,0.941176470588235,0.888888888888889,1,0.95,0.0022875816993464,0.102287581699346,1.08056797739044
10,"NT","ED","BIDfirst",43,29,37,11,0.843137254901961,0.707317073170732,0.86046511627907,0.733333333333333,0.00868839878549266,0.262951964676965,1.27826587801576
14,"NT","ED","NTfirst",39,22,28,11,0.829787234042553,0.478260869565217,0.875,0.44,-0.0834736355226642,0.786526364477336,1.47596377864108
15,"NT","ED","NTfirst",38,19,16,11,0.612903225806452,0.431818181818182,0.64,0.578947368421053,0.120032412409322,0.242137675567217,-0.30331732698679
16,"NT","ED","BIDfirst",67,33,20,20,0.971014492753623,0.942857142857143,0.909090909090909,0.833333333333333,-0.0476002258610954,0.103914925654056,0.882870076765122
17,"NT","ED","BIDfirst",57,34,29,18,0.966101694915254,0.829268292682927,0.966666666666667,0.9,0.0701667355656608,0.203500068898994,0.882870076765122
19,"NT","ED","NTfirst",44,40,26,13,0.785714285714286,0.816326530612245,0.896551724137931,0.8125,-0.11466396903589,0.0534394792399717,1.87135957989172
20,"NT","ED","NTfirst",50,45,23,18,0.909090909090909,0.882352941176471,0.958333333333333,0.9,-0.0315953654188948,0.0850713012477718,-0.896411028862746
22,"NT","ED","BIDfirst",36,31,29,14,0.8,0.584905660377358,0.966666666666667,0.636363636363636,-0.115208690680389,0.545397369925672,-0.30331732698679
24,"NT","ED","BIDfirst",49,27,20,10,0.777777777777778,0.6,0.952380952380952,0.476190476190476,-0.298412698412698,0.653968253968254,0.289776374889166
27,"NT","ED","BIDfirst",56,36,21,10,0.918032786885246,0.692307692307692,0.954545454545455,0.666666666666667,-0.0621536933012343,0.513603882456342,-0.896411028862746
32,"NT","ED","BIDfirst",53,41,19,19,0.854838709677419,0.872340425531915,0.904761904761905,0.95,0.0277363793835996,-0.0627398110925907,1.08056797739044
33,"NT","ED","BIDfirst",46,52,26,11,0.938775510204082,0.88135593220339,1,0.6875,-0.255080421999308,0.369919578000692,0.685172176139804
36,"NT","ED","BIDfirst",48,49,24,22,0.96,0.96078431372549,0.923076923076923,0.956521739130435,0.0326605023280214,-0.0342291297790019,1.27826587801576
38,"NT","ED","NTfirst",59,32,34,10,0.893939393939394,0.941176470588235,0.894736842105263,0.833333333333333,-0.108640585420771,0.0141664321230884,1.6736616792664
39,"NT","ED","NTfirst",49,21,21,13,0.98,0.42,0.807692307692308,0.541666666666667,0.293974358974359,0.826025641025641,-0.30331732698679
44,"NT","ED","NTfirst",41,27,8,4,0.683333333333333,0.490909090909091,0.421052631578947,0.25,0.0213716108452951,0.36347687400319,1.27826587801576
46,"NT","ED","NTfirst",7,4,1,3,0.114754098360656,0.114285714285714,0.03125,0.136363636363636,0.105582020438578,-0.104645252288695,1.08056797739044
51,"NT","ED","BIDfirst",50,40,27,17,0.943396226415094,0.833333333333333,1,0.772727272727273,-0.117209834190966,0.337335620354488,1.87135957989172
52,"NT","ED","NTfirst",51,36,27,21,0.962264150943396,0.837209302325581,0.9,0.875,0.100054848617815,0.150054848617815,-0.105619426361471
53,"NT","ED","BIDfirst",50,41,19,17,0.847457627118644,0.803921568627451,0.95,0.85,-0.056463941508807,0.143536058491193,0.487474275514485
55,"NT","ED","BIDfirst",56,38,24,10,0.903225806451613,0.826086956521739,0.827586206896552,0.769230769230769,0.0187834122640913,0.135494287595656,1.87135957989172
56,"NT","ED","NTfirst",55,37,22,16,0.932203389830508,0.74,0.956521739130435,0.888888888888889,0.124570539588962,0.259836240072054,0.289776374889166
57,"NT","ED","BIDfirst",64,28,28,13,0.955223880597015,0.8,0.875,0.8125,0.0927238805970149,0.217723880597015,0.289776374889166
59,"NT","ED","NTfirst",47,41,25,12,0.87037037037037,0.82,0.925925925925926,0.631578947368421,-0.243976608187135,0.344717348927875,1.08056797739044
60,"NT","ED","NTfirst",43,40,23,21,0.811320754716981,0.869565217391304,0.92,0.807692307692308,-0.170552154982015,0.0540632296333691,0.0920784742638473
62,"NT","ED","NTfirst",57,24,28,16,0.95,0.666666666666667,0.875,0.727272727272727,0.135606060606061,0.431060606060606,-0.501015227612109
64,"NT","ED","BIDfirst",54,27,20,13,0.915254237288136,0.519230769230769,0.909090909090909,0.764705882352941,0.251638441319398,0.540408494795334,-1.29180683011338
68,"NT","ED","BIDfirst",41,32,20,15,0.719298245614035,0.711111111111111,0.740740740740741,0.714285714285714,-0.0182678919521024,0.0346421609579504,-0.105619426361471
69,"NT","ED","BIDfirst",48,37,29,20,0.96,0.804347826086957,0.90625,0.909090909090909,0.158493083003952,0.152811264822134,-0.501015227612109
70,"NT","ED","NTfirst",49,40,21,13,0.844827586206897,0.869565217391304,0.777777777777778,0.684210526315789,-0.118304882646396,0.0688296202775807,1.27826587801576
73,"NT","ED","BIDfirst",50,45,24,20,0.961538461538462,0.9,0.857142857142857,1,0.204395604395604,-0.0813186813186814,-0.501015227612109
75,"NT","ED","NTfirst",32,33,14,7,0.627450980392157,0.568965517241379,0.636363636363636,0.368421052631579,-0.20945712058128,0.326428046882835,-0.501015227612109
77,"NT","ED","BIDfirst",52,41,24,24,0.981132075471698,0.854166666666667,1,0.96,0.0869654088050315,0.166965408805031,0.487474275514485
79,"NT","ED","NTfirst",63,24,21,11,0.926470588235294,0.558139534883721,1,0.611111111111111,-0.0205578355373156,0.757219942240462,-0.30331732698679
81,"NT","ED","BIDfirst",60,30,23,17,0.923076923076923,0.857142857142857,0.793103448275862,0.80952380952381,0.0823544271820135,0.0495137046861186,-0.896411028862746
82,"NT","ED","BIDfirst",59,36,18,14,0.880597014925373,0.837209302325581,0.857142857142857,0.736842105263158,-0.0769130392799076,0.163688464479491,0.487474275514485
2,"NT","HC","NTfirst",60,30,22,19,0.967741935483871,0.731707317073171,0.88,0.863636363636364,0.219670982047064,0.252398254774337,1.08056797739044
3,"NT","HC","BIDfirst",61,22,32,12,0.983870967741935,0.611111111111111,1,0.6,-0.0272401433691757,0.772759856630824,-0.896411028862746
