"sub","condition","group","cond_order","n_com_rew","n_com_unrew","n_rare_rew","n_rare_unrew","p_com_rew","p_com_unrew","p_rare_rew","p_rare_unrew","mb_score","mf_score","age_z"
7,"NT","ED","NTfirst",78,29,13,19,0.962962962962963,0.90625,0.928571428571429,0.826086956521739,-0.0457715090867266,0.159197435012652,1.08056797739044
10,"NT","ED","BIDfirst",54,41,16,12,0.885245901639344,0.759259259259259,0.941176470588235,0.666666666666667,-0.148523161541484,0.400496446301653,1.27826587801576
14,"NT","ED","NTfirst",44,25,16,12,0.830188679245283,0.471698113207547,0.571428571428571,0.75,0.537061994609164,0.179919137466307,1.47596377864108
15,"NT","ED","NTfirst",51,18,19,8,0.82258064516129,0.45,0.655172413793103,0.421052631578947,0.138460862947134,0.606700427375446,-0.30331732698679
16,"NT","ED","BIDfirst",49,33,32,28,0.98,0.846153846153846,0.96969696969697,1,0.164149184149184,0.103543123543123,0.882870076765122
17,"NT","ED","BIDfirst",49,47,16,31,0.96078431372549,0.92156862745098,1,0.96875,0.00796568627450989,0.0704656862745101,0.882870076765122
19,"NT","ED","NTfirst",40,40,22,15,0.677966101694915,0.851063829787234,0.88,0.789473684210526,-0.263624043881793,-0.0825714123028453,1.87135957989172
20,"NT","ED","NTfirst",43,53,17,17,0.877551020408163,0.828125,1,0.85,-0.100573979591837,0.199426020408163,-0.896411028862746
22,"NT","ED","BIDfirst",50,27,22,14,0.833333333333333,0.613636363636364,0.785714285714286,0.777777777777778,0.211760461760462,0.227633477633478,-0.30331732698679
24,"NT","ED","BIDfirst",35,38,20,12,0.795454545454545,0.644067796610169,0.8,0.545454545454545,-0.103158705701079,0.405932203389831,0.289776374889166
27,"NT","ED","BIDfirst",44,39,24,12,0.846153846153846,0.661016949152542,0.923076923076923,0.923076923076923,0.185136897001304,0.185136897001304,-0.896411028862746
32,"NT","ED","BIDfirst",39,38,21,16,0.78,0.690909090909091,0.875,0.761904761904762,-0.024004329004329,0.202186147186147,1.08056797739044
33,"NT","ED","BIDfirst",61,28,27,16,0.968253968253968,0.717948717948718,0.964285714285714,0.8,0.086019536019536,0.414590964590965,0.685172176139804
36,"NT","ED","BIDfirst",55,51,19,16,0.948275862068966,0.944444444444444,0.95,0.888888888888889,-0.05727969348659,0.0649425287356322,1.27826587801576
38,"NT","ED","NTfirst",61,41,22,19,0.924242424242424,0.953488372093023,1,1,-0.0292459478505991,-0.029245947850599,1.6736616792664
39,"NT","ED","NTfirst",58,23,16,18,0.950819672131147,0.522727272727273,0.888888888888889,0.666666666666667,0.205870177181653,0.650314621626097,-0.30331732698679
