"sub","group","age","cond_order","condition","trialNo","ch1","rt1","st","ch2","rt2","r","transition","stay"
7,"ED",34,"NTfirst","NT",1,2,NA,3,2,NA,1,1,0
7,"ED",34,"NTfirst","NT",2,2,NA,3,2,NA,0,1,1
7,"ED",34,"NTfirst","NT",3,2,NA,3,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",4,1,NA,2,1,NA,0,1,0
7,"ED",34,"NTfirst","NT",5,1,NA,2,2,NA,0,1,1
7,"ED",34,"NTfirst","NT",6,1,NA,3,1,NA,0,0,1
7,"ED",34,"NTfirst","NT",7,2,NA,2,1,NA,1,0,0
7,"ED",34,"NTfirst","NT",8,1,NA,2,1,NA,1,1,0
7,"ED",34,"NTfirst","NT",9,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",10,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",11,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",12,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",13,1,NA,3,1,NA,0,0,1
7,"ED",34,"NTfirst","NT",14,1,NA,2,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",15,1,NA,2,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",16,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",17,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",18,1,NA,3,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",19,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",20,1,NA,3,2,NA,0,0,1
7,"ED",34,"NTfirst","NT",21,1,NA,3,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",22,1,NA,2,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",23,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",24,1,NA,3,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",25,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",26,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",27,1,NA,3,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",28,1,NA,3,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",29,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",30,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",31,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",32,1,NA,2,2,NA,0,1,1
7,"ED",34,"NTfirst","NT",33,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",34,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",35,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",36,1,NA,2,2,NA,0,1,1
7,"ED",34,"NTfirst","NT",37,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",38,1,NA,3,1,NA,0,0,1
7,"ED",34,"NTfirst","NT",39,1,NA,3,2,NA,0,0,1
7,"ED",34,"NTfirst","NT",40,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",41,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",42,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",43,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",44,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",45,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",46,1,NA,2,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",47,1,NA,2,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",48,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",49,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",50,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",51,1,NA,3,1,NA,0,0,1
7,"ED",34,"NTfirst","NT",52,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",53,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",54,1,NA,2,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",55,1,NA,3,1,NA,1,0,1
7,"ED",34,"NTfirst","NT",56,1,NA,3,1,NA,0,0,1
7,"ED",34,"NTfirst","NT",57,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",58,1,NA,2,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",59,1,NA,3,2,NA,0,0,1
7,"ED",34,"NTfirst","NT",60,2,NA,2,1,NA,0,0,0
7,"ED",34,"NTfirst","NT",61,2,NA,3,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",62,1,NA,2,2,NA,1,1,0
7,"ED",34,"NTfirst","NT",63,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",64,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",65,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",66,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",67,1,NA,3,2,NA,0,0,1
7,"ED",34,"NTfirst","NT",68,1,NA,2,2,NA,0,1,1
7,"ED",34,"NTfirst","NT",69,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",70,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",71,1,NA,3,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",72,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",73,1,NA,2,2,NA,1,1,1
7,"ED",34,"NTfirst","NT",74,2,NA,3,1,NA,1,1,0
7,"ED",34,"NTfirst","NT",75,2,NA,3,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",76,2,NA,3,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",77,2,NA,3,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",78,2,NA,3,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",79,2,NA,3,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",80,2,NA,3,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",81,2,NA,2,2,NA,1,0,1
7,"ED",34,"NTfirst","NT",82,2,NA,3,1,NA,0,1,1
7,"ED",34,"NTfirst","NT",83,2,NA,3,1,NA,1,1,1
7,"ED",34,"NTfirst","NT",84,2,NA,3,1,NA,0,1,1
