sub,cond_order,condition,trialNo,ch1,rt1,st,ch2,rt2,r,transition,stay
2,NTfirst,NT,1,2,0.417775,2,2,0.389775,0,0,0
2,NTfirst,NT,2,2,0.310305,2,1,0.279575,1,0,1
2,NTfirst,NT,3,2,0.26708,2,1,0.305135,1,0,1
2,NTfirst,NT,4,2,0.2337,2,1,0.33771,1,0,1
2,NTfirst,NT,5,2,0.220445,3,1,0.474925,0,1,1
2,NTfirst,NT,6,2,0.02772,3,1,0.363505,0,1,1
2,NTfirst,NT,7,2,0.150825,2,1,0.55645,1,0,1
2,NTfirst,NT,8,2,0.256985,3,2,0.66356,1,1,1
2,NTfirst,NT,9,2,0.142305,3,2,0.821465,1,1,1
2,NTfirst,NT,10,2,0.32974,3,2,0.512445,0,1,1
2,NTfirst,NT,11,2,0.300475,3,1,0.422255,1,1,1
2,NTfirst,NT,12,2,0.2632,3,1,0.400305,1,1,1
2,NTfirst,NT,13,2,0.195105,2,2,0.69388,0,0,1
2,NTfirst,NT,14,2,0.16976,2,2,0.489865,0,0,1
2,NTfirst,NT,15,2,0.267485,3,1,0.666905,0,1,1
2,NTfirst,NT,16,1,0.260565,2,1,0.326145,1,1,0
2,NTfirst,NT,17,1,0.26185,3,2,0.68066,0,0,1
2,NTfirst,NT,18,1,0.07646,2,1,0.2852,0,1,1
2,NTfirst,NT,19,1,0.23546,3,2,0.37505,0,0,1
2,NTfirst,NT,20,1,0.44011,2,1,0.259215,1,1,1
2,NTfirst,NT,21,1,0.23809,2,1,0.354785,1,1,1
2,NTfirst,NT,22,1,0.286085,2,1,0.37069,1,1,1
2,NTfirst,NT,23,1,0.268755,2,1,0.306835,1,1,1
2,NTfirst,NT,24,1,0.22643,3,1,0.273015,0,0,1
2,NTfirst,NT,25,1,0.139135,2,1,0.3305,1,1,1
2,NTfirst,NT,26,1,0.27222,2,1,0.390775,1,1,1
2,NTfirst,NT,27,1,0.02822,2,1,0.48506,1,1,1
2,NTfirst,NT,28,1,0.28454,2,1,0.407505,1,1,1
2,NTfirst,NT,29,1,0.274535,3,2,0.61087,0,0,1
2,NTfirst,NT,30,1,0.1853,2,1,0.36061,1,1,1
2,NTfirst,NT,31,1,0.267465,3,1,0.710075,0,0,1
2,NTfirst,NT,32,1,0.118695,2,1,0.380545,0,1,1
2,NTfirst,NT,33,1,0.247315,3,1,0.65901,1,0,1
2,NTfirst,NT,34,2,0.172265,2,1,0.30154,1,0,0
2,NTfirst,NT,35,2,0.428235,2,1,0.603825,1,0,1
2,NTfirst,NT,36,2,0.320465,3,1,0.567955,1,1,1
2,NTfirst,NT,37,2,0.243835,3,1,0.381285,0,1,1
2,NTfirst,NT,38,1,0.37243,2,1,0.321495,1,1,0
2,NTfirst,NT,39,1,0.14255,2,1,0.28936,0,1,1
2,NTfirst,NT,40,1,0.05434,2,1,0.72753,1,1,1
2,NTfirst,NT,41,1,0.08981,3,2,0.87764,0,0,1
2,NTfirst,NT,42,1,0.150805,2,1,0.372225,0,1,1
2,NTfirst,NT,43,1,0.03421,2,2,0.417535,0,1,1
2,NTfirst,NT,44,1,0.00309,2,1,0.402055,0,1,1
2,NTfirst,NT,45,2,0.24768,3,1,0.44691,1,1,0
2,NTfirst,NT,46,2,0.53882,3,1,0.28642,1,1,1
2,NTfirst,NT,47,2,0.238055,3,1,0.25137,1,1,1
2,NTfirst,NT,48,2,0.24738,2,2,0.712245,1,0,1
2,NTfirst,NT,49,2,0.02247,2,1,0.318665,0,0,1
2,NTfirst,NT,50,2,0.20613,3,1,0.55734,0,1,1
2,NTfirst,NT,51,1,0.80574,3,2,0.33553,0,0,0
2,NTfirst,NT,52,1,0.322955,2,1,0.548685,1,1,1
2,NTfirst,NT,53,1,0.25309,2,1,0.286285,1,1,1
2,NTfirst,NT,54,1,0.225145,2,1,0.350315,0,1,1
2,NTfirst,NT,55,1,0.06209,3,1,1.085405,0,0,1
2,NTfirst,NT,56,2,1.04559,2,1,0.87977,0,0,0
2,NTfirst,NT,57,1,0.087155,3,2,0.736695,0,0,0
2,NTfirst,NT,58,1,0.08506,2,2,0.87536,0,1,1
2,NTfirst,NT,59,2,0.11279,3,1,0.441455,0,1,0
2,NTfirst,NT,60,2,0.37823,3,2,0.41931,0,1,1
2,NTfirst,NT,61,1,0.485485,3,1,0.31752,0,0,0
2,NTfirst,NT,62,1,0.533825,2,1,0.37321,1,1,1
2,NTfirst,NT,63,1,0.16709,3,1,0.320045,0,0,1
2,NTfirst,NT,64,1,0.04441,3,2,0.8072,0,0,1
2,NTfirst,NT,65,1,0.073535,2,1,0.74168,1,1,1
2,NTfirst,NT,66,1,0.30077,2,1,0.354325,0,1,1
2,NTfirst,NT,67,1,0.110725,2,1,0.40331,1,1,1
2,NTfirst,NT,68,1,0.20332,2,1,0.329815,1,1,1
2,NTfirst,NT,69,1,0.195675,2,1,0.381195,1,1,1
2,NTfirst,NT,70,1,0.239735,2,1,0.37376,0,1,1
2,NTfirst,NT,71,1,0.53376,3,2,0.918275,0,0,1
2,NTfirst,NT,72,1,0.269725,2,1,0.385115,1,1,1
2,NTfirst,NT,73,1,0.1593,3,1,0.342875,1,0,1
2,NTfirst,NT,74,1,0.13652,2,1,0.339165,1,1,1
2,NTfirst,NT,75,1,0.183845,2,1,0.40627,1,1,1
2,NTfirst,NT,76,2,0.56917,3,1,0.440495,0,1,0
2,NTfirst,NT,77,2,0.050405,2,1,1.024295,1,0,1
2,NTfirst,NT,78,1,0.229865,2,1,0.245725,1,1,0
2,NTfirst,NT,79,1,0.177915,2,1,0.2684,1,1,1
2,NTfirst,NT,80,1,0.274535,2,1,0.418455,0,1,1
2,NTfirst,NT,81,1,0.488955,2,1,0.316085,0,1,1
2,NTfirst,NT,82,1,0.067855,3,1,0.740405,1,0,1
2,NTfirst,NT,83,2,0.18402,3,1,0.26057,0,1,0
2,NTfirst,NT,84,2,0.16707,3,1,0.25429,0,1,1
2,NTfirst,NT,85,2,0.161745,3,2,0.417055,0,1,1
2,NTfirst,NT,86,1,0.008615,2,1,0.32347,1,1,0
2,NTfirst,NT,87,1,0.109155,3,1,0.334845,0,0,1
2,NTfirst,NT,88,1,0.017205,2,1,0.2754,0,1,1
2,NTfirst,NT,89,1,0.053395,2,2,0.378835,0,1,1
2,NTfirst,NT,90,1,0.160485,2,1,0.263785,1,1,1
2,NTfirst,NT,91,1,0.11197,2,1,0.255855,0,1,1
2,NTfirst,NT,92,2,0.136725,3,1,0.22131,0,1,0
2,NTfirst,NT,93,2,0.036105,3,2,0.42751,1,1,1
2,NTfirst,NT,94,2,0.08362,2,2,0.584775,1,0,1
2,NTfirst,NT,95,2,0.170695,2,2,0.25456,0,0,1
2,NTfirst,NT,96,2,0.609375,2,2,0.374575,1,0,1
2,NTfirst,NT,97,2,0.100615,3,2,0.357105,1,1,1
2,NTfirst,NT,98,2,0.228715,3,2,0.35059,1,1,1
2,NTfirst,NT,99,2,0.25458,2,2,0.373105,0,0,1
2,NTfirst,NT,100,2,0.02548,3,2,0.69713,0,1,1
2,NTfirst,NT,101,2,0.10104,3,1,0.400965,0,1,1
2,NTfirst,NT,102,1,0.487175,2,2,1.18366,1,1,0
2,NTfirst,NT,103,1,0.25456,3,2,0.40309,0,0,1
2,NTfirst,NT,104,1,0.07409,2,2,0.38473,0,1,1
2,NTfirst,NT,105,1,0.25714,3,1,0.34616,0,0,1
2,NTfirst,NT,106,1,0.05576,2,1,0.413125,1,1,1
2,NTfirst,NT,107,1,0.026075,2,1,0.386975,1,1,1
2,NTfirst,NT,108,1,0.11009,2,1,0.4516,0,1,1
2,NTfirst,NT,109,2,0.491655,2,1,0.245425,0,0,0
2,NTfirst,NT,110,2,0.016955,3,1,0.522855,0,1,1
2,NTfirst,NT,111,2,0.02961,2,2,1.0097,0,0,1
2,NTfirst,NT,112,2,0.00781,3,2,0.23515,0,1,1
2,NTfirst,NT,113,1,0.030515,2,1,0.23693,1,1,0
2,NTfirst,NT,114,1,0.044085,3,1,0.23021,0,0,1
2,NTfirst,NT,115,1,0.036205,2,1,0.411225,1,1,1
2,NTfirst,NT,116,1,0.13014,2,1,0.446735,0,1,1
2,NTfirst,NT,117,1,0.322255,3,2,1.1305,1,0,1
2,NTfirst,NT,118,1,0.384035,2,1,0.60253,0,1,1
2,NTfirst,NT,119,1,0.30954,2,1,0.54303,0,1,1
2,NTfirst,NT,120,1,0.55374,2,2,0.43452,0,1,1
2,NTfirst,NT,121,2,0.09605,3,2,0.78843,0,1,0
2,NTfirst,NT,122,2,0.25993,2,1,1.026335,0,0,1
2,NTfirst,NT,123,2,0.044465,3,1,0.618685,0,1,1
2,NTfirst,NT,124,1,0.7767,2,2,0.39684,0,1,0
2,NTfirst,NT,125,1,0.13495,3,1,0.963075,0,0,1
2,NTfirst,NT,126,1,0.31748,2,1,0.31034,1,1,1
2,NTfirst,NT,127,1,0.25191,2,1,0.504,1,1,1
2,NTfirst,NT,128,1,0.500385,3,1,0.3185,1,0,1
2,NTfirst,NT,129,1,0.11889,2,1,0.40691,1,1,1
2,NTfirst,NT,130,1,0.20911,2,1,0.52653,0,1,1
2,NTfirst,NT,131,1,0.2941,2,1,0.419365,0,1,1
2,NTfirst,NT,132,1,0.50276,3,1,0.68464,0,0,1
2,NTfirst,NT,133,1,0.19327,2,2,0.8717,0,1,1
2,NTfirst,NT,134,1,0.23383,2,1,0.43033,0,1,1
2,NTfirst,NT,135,2,1.088285,3,2,0.54597,1,1,0
2,NTfirst,NT,136,2,0.058035,3,2,0.370035,0,1,1
2,NTfirst,NT,137,2,0.583685,3,1,0.788085,0,1,1
2,NTfirst,NT,138,1,0.094415,2,1,0.31824,1,1,0
2,NTfirst,NT,139,1,0.256115,2,1,0.302425,0,1,1
2,NTfirst,NT,140,1,0.228035,2,2,0.30273,1,1,1
2,NTfirst,NT,141,1,0.21928,2,2,0.28815,1,1,1
2,NTfirst,NT,142,1,0.28654,2,2,0.30209,0,1,1
2,NTfirst,NT,143,2,0.892045,3,1,0.244635,0,1,0
2,NTfirst,NT,144,2,0.000845,3,2,0.36202,0,1,1
2,NTfirst,NT,145,1,0.09398,2,2,0.57632,1,1,0
2,NTfirst,NT,146,1,0.05047,2,2,0.361975,1,1,1
2,NTfirst,NT,147,1,0.150415,2,2,0.379455,0,1,1
2,NTfirst,NT,148,1,0.0903,2,1,0.252325,0,1,1
2,NTfirst,NT,149,2,0.454655,2,1,0.245645,0,0,0
2,NTfirst,NT,150,2,0.00652,3,1,0.506115,0,1,1
3,BIDfirst,NT,1,2,0.24647,3,2,0.183555,0,1,0
3,BIDfirst,NT,2,2,0.23547,3,1,0.13597,1,1,1
3,BIDfirst,NT,3,2,0.135335,3,1,0.127625,1,1,1
3,BIDfirst,NT,4,2,0.118365,2,1,0.09967,0,0,1
3,BIDfirst,NT,5,2,0.036955,2,2,0.099365,1,0,1
3,BIDfirst,NT,6,2,0.15372,2,2,0.11644,1,0,1
3,BIDfirst,NT,7,2,0.12024,3,2,0.128155,0,1,1
3,BIDfirst,NT,8,2,0.27935,3,1,0.19958,0,1,1
3,BIDfirst,NT,9,1,0.03922,2,1,0.21012,1,1,0
3,BIDfirst,NT,10,1,0.00125,3,1,0.151945,0,0,1
3,BIDfirst,NT,11,1,0.08633,2,2,0.101035,0,1,1
3,BIDfirst,NT,12,2,0.351445,3,2,0.099625,1,1,0
3,BIDfirst,NT,13,2,0.265035,3,2,0.13283,0,1,1
3,BIDfirst,NT,14,2,0.135235,3,1,0.09985,1,1,1
3,BIDfirst,NT,15,2,0.11891,3,1,0.08323,1,1,1
3,BIDfirst,NT,16,2,0.08858,2,1,0.14884,0,0,1
3,BIDfirst,NT,17,2,0.047985,3,2,0.092795,0,1,1
3,BIDfirst,NT,18,1,0.181045,2,1,0.30994,0,1,0
3,BIDfirst,NT,19,1,0.1863,2,2,0.147665,0,1,1
3,BIDfirst,NT,20,2,0.16869,3,2,0.099785,0,1,0
3,BIDfirst,NT,21,2,0.151315,3,1,0.149775,1,1,1
3,BIDfirst,NT,22,2,0.09004,2,1,0.150895,0,0,1
3,BIDfirst,NT,23,2,0.132,3,2,0.16489,0,1,1
3,BIDfirst,NT,24,1,0.017565,3,1,0.18521,1,0,0
3,BIDfirst,NT,25,1,0.2044,3,2,0.14833,0,0,1
3,BIDfirst,NT,26,1,0.19779,2,1,0.130605,0,1,1
3,BIDfirst,NT,27,2,0.213795,2,1,0.1457,0,0,0
3,BIDfirst,NT,28,2,0.101635,3,2,0.166855,0,1,1
3,BIDfirst,NT,29,1,0.13567,2,2,0.005125,1,1,0
3,BIDfirst,NT,30,1,0.31709,2,2,0.14424,0,1,1
3,BIDfirst,NT,31,1,0.019495,2,1,0.172645,0,1,1
3,BIDfirst,NT,32,2,0.48637,3,2,0.298995,0,1,0
3,BIDfirst,NT,33,2,0.213945,3,1,0.244165,1,1,1
3,BIDfirst,NT,34,2,0.281465,2,1,0.333175,1,0,1
3,BIDfirst,NT,35,2,0.651175,3,1,0.251595,1,1,1
3,BIDfirst,NT,36,2,0.36899,3,1,0.532235,1,1,1
3,BIDfirst,NT,37,2,0.218065,3,1,0.1518,1,1,1
3,BIDfirst,NT,38,2,0.33506,2,1,0.147865,0,0,1
3,BIDfirst,NT,39,1,0.21755,3,1,0.250195,1,0,0
3,BIDfirst,NT,40,1,0.262485,2,1,0.949985,0,1,1
3,BIDfirst,NT,41,1,0.168365,2,2,0.231395,1,1,1
3,BIDfirst,NT,42,1,0.248445,3,2,0.766765,0,0,1
3,BIDfirst,NT,43,1,0.15204,2,1,0.245045,0,1,1
3,BIDfirst,NT,44,1,0.00093,2,2,0.26165,0,1,1
3,BIDfirst,NT,45,2,0.201775,3,1,0.18079,1,1,0
3,BIDfirst,NT,46,2,0.23474,3,1,0.146955,1,1,1
3,BIDfirst,NT,47,2,0.2347,3,1,0.09618,1,1,1
3,BIDfirst,NT,48,2,0.252335,3,1,0.584685,1,1,1
3,BIDfirst,NT,49,2,0.00119,3,1,0.21527,1,1,1
3,BIDfirst,NT,50,2,0.200095,3,1,0.16956,0,1,1
3,BIDfirst,NT,51,2,0.10169,3,2,0.16212,1,1,1
3,BIDfirst,NT,52,2,0.3206,3,2,0.234355,0,1,1
3,BIDfirst,NT,53,1,0.133665,2,2,0.13452,0,1,0
3,BIDfirst,NT,54,1,0.186995,2,1,0.23424,0,1,1
3,BIDfirst,NT,55,2,0.072035,3,1,0.14767,1,1,0
3,BIDfirst,NT,56,2,0.23006,2,1,0.077805,0,0,1
3,BIDfirst,NT,57,2,0.101625,2,2,0.165865,0,0,1
3,BIDfirst,NT,58,1,0.035795,2,2,0.13185,1,1,0
3,BIDfirst,NT,59,1,0.196595,3,2,0.04847,1,0,1
3,BIDfirst,NT,60,2,0.367535,3,1,0.25033,0,1,0
3,BIDfirst,NT,61,1,0.08427,2,2,0.15174,0,1,0
3,BIDfirst,NT,62,1,0.118465,3,1,0.164305,1,0,1
3,BIDfirst,NT,63,1,0.080375,2,1,0.61495,1,1,1
3,BIDfirst,NT,64,1,0.366805,3,1,0.27978,1,0,1
3,BIDfirst,NT,65,1,0.15449,2,1,0.18341,0,1,1
3,BIDfirst,NT,66,1,0.118115,2,2,0.13249,0,1,1
3,BIDfirst,NT,67,2,0.002735,3,1,0.279585,0,1,0
3,BIDfirst,NT,68,2,0.480785,3,2,0.2117,0,1,1
3,BIDfirst,NT,69,1,0.09763,2,1,0.21678,1,1,0
3,BIDfirst,NT,70,1,0.052135,2,1,0.167105,1,1,1
3,BIDfirst,NT,71,1,0.163235,2,1,0.215685,0,1,1
3,BIDfirst,NT,72,1,0.101865,2,2,0.111415,1,1,1
3,BIDfirst,NT,73,1,0.068095,2,2,0.63434,0,1,1
3,BIDfirst,NT,74,2,0.134795,3,2,0.23274,0,1,0
3,BIDfirst,NT,75,2,0.13523,2,1,0.08361,0,0,1
3,BIDfirst,NT,76,2,0.53204,3,2,0.265695,0,1,1
3,BIDfirst,NT,77,2,0.184035,3,1,0.049645,0,1,1
3,BIDfirst,NT,78,1,0.149975,2,1,0.149855,1,1,0
3,BIDfirst,NT,79,1,0.081965,2,1,0.135585,0,1,1
3,BIDfirst,NT,80,1,0.10167,2,2,0.099525,0,1,1
3,BIDfirst,NT,81,2,0.30106,3,1,0.118885,1,1,0
