sub,cond_order,condition,trialNo,ch1,rt1,st,ch2,rt2,r,transition,stay
2,NTfirst,PR,1,1,0.65981,2,1,1.704565,0,1,0
2,NTfirst,PR,2,1,0.81413,2,2,1.36324,1,1,1
2,NTfirst,PR,3,1,0.4289,2,2,0.77903,0,1,1
2,NTfirst,PR,4,1,0.309585,3,2,2.42383,1,0,1
2,NTfirst,PR,5,1,0.39432,2,2,0.789325,0,1,1
2,NTfirst,PR,6,1,0.428705,2,1,1.18955,0,1,1
2,NTfirst,PR,7,1,0.277975,3,2,0.79824,1,0,1
2,NTfirst,PR,8,2,0.40718,3,2,0.57652,1,1,0
2,NTfirst,PR,9,2,0.43058,3,2,0.401075,1,1,1
2,NTfirst,PR,10,2,0.53085,3,2,0.47901,1,1,1
2,NTfirst,PR,11,2,0.34686,2,2,1.06712,0,0,1
2,NTfirst,PR,12,2,0.355455,3,2,0.415535,1,1,1
2,NTfirst,PR,13,2,0.288515,3,2,0.303715,0,1,1
2,NTfirst,PR,14,2,0.31758,3,2,0.34081,0,1,1
2,NTfirst,PR,15,2,0.30534,3,1,0.360995,0,1,1
2,NTfirst,PR,16,1,0.27527,2,1,0.300195,0,1,0
2,NTfirst,PR,17,1,0.27312,2,2,0.404545,0,1,1
2,NTfirst,PR,18,1,0.33905,2,1,0.268495,1,1,1
2,NTfirst,PR,19,1,0.383645,2,1,0.321305,1,1,1
2,NTfirst,PR,20,1,0.336155,3,2,0.810695,0,0,1
2,NTfirst,PR,21,1,0.23801,2,1,0.245335,0,1,1
2,NTfirst,PR,22,1,0.017665,3,2,0.41075,1,0,1
2,NTfirst,PR,23,2,0.318085,3,2,0.31857,1,1,0
2,NTfirst,PR,24,2,0.2624,3,2,0.301295,1,1,1
2,NTfirst,PR,25,2,0.369455,2,2,0.259115,0,0,1
3,BIDfirst,PR,1,2,0.94155,3,2,1.04585,0,1,0
3,BIDfirst,PR,2,2,0.870365,3,1,1.628975,1,1,1
3,BIDfirst,PR,3,2,0.501475,2,1,1.156545,0,0,1
3,BIDfirst,PR,4,2,0.335115,2,2,0.76392,0,0,1
3,BIDfirst,PR,5,1,0.43113,3,1,1.75059,0,0,0
3,BIDfirst,PR,6,1,0.63594,2,2,0.69777,1,1,1
3,BIDfirst,PR,7,1,0.333965,3,2,0.796075,1,0,1
3,BIDfirst,PR,8,1,0.513535,3,2,0.6762,1,0,1
3,BIDfirst,PR,9,1,0.31786,3,2,0.47512,1,0,1
3,BIDfirst,PR,10,1,0.283355,2,1,1.34375,0,1,1
3,BIDfirst,PR,11,2,0.254585,3,1,0.846765,1,1,0
3,BIDfirst,PR,12,2,0.368665,2,1,0.445955,1,0,1
3,BIDfirst,PR,13,2,0.365555,3,1,0.97822,0,1,1
3,BIDfirst,PR,14,1,0.31801,2,1,0.911005,1,1,0
3,BIDfirst,PR,15,1,0.39665,3,1,0.697025,0,0,1
3,BIDfirst,PR,16,1,0.281965,2,1,0.76772,1,1,1
3,BIDfirst,PR,17,1,0.465985,3,1,0.86323,1,0,1
3,BIDfirst,PR,18,1,0.314685,2,1,0.69877,0,1,1
3,BIDfirst,PR,19,2,0.28302,3,1,0.66568,1,1,0
3,BIDfirst,PR,20,2,0.388955,3,1,0.429285,0,1,1
3,BIDfirst,PR,21,2,0.28442,3,1,0.84497,1,1,1
3,BIDfirst,PR,22,2,0.25247,3,1,0.42936,0,1,1
3,BIDfirst,PR,23,2,0.25258,3,2,0.412135,1,1,1
3,BIDfirst,PR,24,2,0.385595,3,2,0.39403,0,1,1
3,BIDfirst,PR,25,2,0.23381,3,1,0.38099,0,1,1
6,NTfirst,PR,1,1,0.509465,2,2,0.84214,1,1,0
6,NTfirst,PR,2,1,0.65627,3,2,0.751415,0,0,1
6,NTfirst,PR,3,2,0.941365,3,2,0.572415,1,1,0
6,NTfirst,PR,4,2,1.071375,2,1,0.41839,0,0,1
6,NTfirst,PR,5,1,1.16832,2,2,0.41074,0,1,0
6,NTfirst,PR,6,2,0.489715,3,1,0.79959,1,1,0
6,NTfirst,PR,7,1,1.425055,2,2,0.68768,1,1,0
6,NTfirst,PR,8,2,0.542805,3,2,0.59694,1,1,0
6,NTfirst,PR,9,2,0.576955,3,2,0.478755,1,1,1
6,NTfirst,PR,10,1,0.54034,2,2,0.492255,0,1,0
6,NTfirst,PR,11,2,0.658245,3,1,0.929775,1,1,0
6,NTfirst,PR,12,2,0.75432,3,1,0.48728,1,1,1
6,NTfirst,PR,13,2,0.317555,3,1,0.29723,0,1,1
6,NTfirst,PR,14,2,0.30888,2,2,0.311915,0,0,1
6,NTfirst,PR,15,2,0.371495,2,1,0.58462,0,0,1
6,NTfirst,PR,16,1,0.70076,3,2,0.401785,0,0,0
6,NTfirst,PR,17,1,0.33973,3,1,0.290465,0,0,1
6,NTfirst,PR,18,2,0.332745,3,2,0.38142,0,1,0
6,NTfirst,PR,19,2,0.30563,3,1,0.48254,0,1,1
6,NTfirst,PR,20,2,0.289815,3,2,0.338685,1,1,1
6,NTfirst,PR,21,2,1.336045,3,2,0.316565,0,1,1
6,NTfirst,PR,22,2,0.400375,3,1,0.272845,0,1,1
6,NTfirst,PR,23,1,0.32115,2,2,0.271695,1,1,0
6,NTfirst,PR,24,1,0.353335,2,2,0.2898,0,1,1
6,NTfirst,PR,25,1,0.333035,3,1,0.24611,1,0,1
7,NTfirst,PR,1,1,0.3,3,1,0.708,1,0,0
7,NTfirst,PR,2,1,0.457,2,1,0.563,0,1,1
7,NTfirst,PR,3,1,0.485,2,1,0.37,0,1,1
7,NTfirst,PR,4,1,0.341,3,2,0.351,0,0,1
7,NTfirst,PR,5,1,0.4,2,2,0.202,1,1,1
7,NTfirst,PR,6,1,0.44,2,2,0.303,1,1,1
7,NTfirst,PR,7,1,0.62,3,2,0.286,1,0,1
7,NTfirst,PR,8,2,0.402,2,1,0.522,0,0,0
