sub,cond_order,condition,trialNo,ch1,rt1,st,ch2,rt2,r,transition,stay
2,NTfirst,BID,1,1,0.263485,2,1,0.32288,1,1,0
2,NTfirst,BID,2,1,1.03649,2,1,0.286955,1,1,1
2,NTfirst,BID,3,1,0.3623,2,1,0.351435,0,1,1
2,NTfirst,BID,4,1,0.07596,2,2,0.238055,0,1,1
2,NTfirst,BID,5,2,0.54431,3,1,0.42159,1,1,0
2,NTfirst,BID,6,2,0.226005,3,1,0.303485,1,1,1
2,NTfirst,BID,7,2,0.26856,3,1,0.3516,0,1,1
2,NTfirst,BID,8,2,0.04276,3,2,0.228625,0,1,1
2,NTfirst,BID,9,1,0.01054,2,1,0.228855,1,1,0
2,NTfirst,BID,10,1,0.24033,2,1,0.42637,1,1,1
2,NTfirst,BID,11,1,0.250435,3,1,0.23388,1,0,1
2,NTfirst,BID,12,2,0.3967,2,1,0.552225,0,0,0
2,NTfirst,BID,13,2,0.0229,3,1,0.2758,1,1,1
2,NTfirst,BID,14,2,0.255675,3,1,0.235065,0,1,1
2,NTfirst,BID,15,1,0.00803,2,1,0.264785,0,1,0
2,NTfirst,BID,16,1,0.072725,2,2,0.39628,0,1,1
2,NTfirst,BID,17,2,0.034165,3,2,0.384645,1,1,0
2,NTfirst,BID,18,2,0.220065,3,2,0.310275,1,1,1
2,NTfirst,BID,19,2,0.236575,3,2,0.370835,1,1,1
2,NTfirst,BID,20,2,0.137265,3,2,0.2451,0,1,1
2,NTfirst,BID,21,1,0.017465,2,1,0.23703,1,1,0
2,NTfirst,BID,22,1,0.136085,3,2,0.94421,0,0,1
2,NTfirst,BID,23,1,0.054675,2,1,0.271325,0,1,1
2,NTfirst,BID,24,1,0.162875,3,1,0.5966,0,0,1
2,NTfirst,BID,25,1,0.061155,2,2,0.421785,0,1,1
2,NTfirst,BID,26,2,0.602535,2,2,0.44679,1,0,0
2,NTfirst,BID,27,1,0.304955,2,2,0.287315,0,1,0
2,NTfirst,BID,28,2,0.33396,3,2,0.38781,0,1,0
2,NTfirst,BID,29,2,0.21053,3,1,0.436795,0,1,1
2,NTfirst,BID,30,1,0.04762,2,1,0.3848,1,1,0
2,NTfirst,BID,31,1,0.173065,3,1,0.917585,1,0,1
2,NTfirst,BID,32,2,0.21111,3,1,0.335855,0,1,0
2,NTfirst,BID,33,1,0.02353,2,1,0.24423,0,1,0
2,NTfirst,BID,34,1,0.08741,3,2,0.92752,0,0,1
2,NTfirst,BID,35,1,0.038145,2,2,0.41386,0,1,1
2,NTfirst,BID,36,2,0.41695,3,1,0.358595,1,1,0
2,NTfirst,BID,37,2,0.20429,2,1,1.13076,1,0,1
2,NTfirst,BID,38,1,0.077195,2,1,0.296475,0,1,0
2,NTfirst,BID,39,2,0.42323,3,1,0.3882,1,1,0
2,NTfirst,BID,40,2,0.08382,2,1,0.86895,0,0,1
2,NTfirst,BID,41,2,0.13828,3,1,0.30703,0,1,1
2,NTfirst,BID,42,2,0.00873,2,1,1.086295,1,0,1
2,NTfirst,BID,43,1,0.04706,2,1,0.338425,1,1,0
2,NTfirst,BID,44,1,0.25967,2,1,0.359955,1,1,1
2,NTfirst,BID,45,1,0.15272,3,1,0.412495,1,0,1
2,NTfirst,BID,46,2,0.550335,2,1,0.73865,0,0,0
2,NTfirst,BID,47,2,0.035965,3,1,0.28913,1,1,1
2,NTfirst,BID,48,2,0.09332,2,1,0.31017,1,0,1
2,NTfirst,BID,49,1,0.11938,3,1,0.28505,1,0,0
2,NTfirst,BID,50,2,0.42173,2,1,0.291975,0,0,0
2,NTfirst,BID,51,2,0.069295,3,1,0.489465,0,1,1
2,NTfirst,BID,52,2,0.02976,3,2,0.370355,1,1,1
2,NTfirst,BID,53,2,0.52162,3,2,0.447965,0,1,1
2,NTfirst,BID,54,1,0.20427,2,1,0.701835,0,1,0
2,NTfirst,BID,55,1,0.07584,2,2,0.40896,1,1,1
2,NTfirst,BID,56,1,0.26368,3,2,0.68173,0,0,1
2,NTfirst,BID,57,1,0.035455,3,2,0.319125,0,0,1
2,NTfirst,BID,58,1,0.272335,2,2,0.45938,1,1,1
2,NTfirst,BID,59,1,0.24721,3,2,0.31949,1,0,1
2,NTfirst,BID,60,2,0.052365,3,2,0.39777,1,1,0
2,NTfirst,BID,61,2,0.10361,2,1,0.795705,1,0,1
2,NTfirst,BID,62,1,0.271125,3,2,0.76887,0,0,0
2,NTfirst,BID,63,1,0.155775,2,1,0.51983,1,1,1
2,NTfirst,BID,64,1,0.202235,3,2,0.635595,1,0,1
2,NTfirst,BID,65,2,0.0882,3,2,0.373375,0,1,0
2,NTfirst,BID,66,1,0.095715,3,1,0.24776,1,0,0
2,NTfirst,BID,67,2,0.106335,3,1,0.337685,0,1,0
2,NTfirst,BID,68,1,0.039825,2,2,0.30967,1,1,0
2,NTfirst,BID,69,1,0.25064,2,2,0.367455,0,1,1
2,NTfirst,BID,70,1,0.153425,2,1,0.21053,0,1,1
2,NTfirst,BID,71,1,0.09455,2,2,0.242875,0,1,1
2,NTfirst,BID,72,2,0.10948,3,2,0.194695,1,1,0
2,NTfirst,BID,73,2,0.15523,3,2,0.40264,1,1,1
2,NTfirst,BID,74,2,0.140865,3,2,0.394265,0,1,1
2,NTfirst,BID,75,2,0.12126,2,1,0.742905,0,0,1
2,NTfirst,BID,76,1,0.927955,3,1,0.29283,1,0,0
2,NTfirst,BID,77,1,0.53614,3,1,1.318435,0,0,1
2,NTfirst,BID,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2,NTfirst,BID,79,1,0.369175,3,1,0.584825,0,0,0
2,NTfirst,BID,80,1,0.296595,2,2,0.447325,1,1,1
2,NTfirst,BID,81,1,0.27524,3,2,0.463235,1,0,1
2,NTfirst,BID,82,1,0.088435,2,2,0.420905,0,1,1
2,NTfirst,BID,83,2,0.44614,2,2,0.218185,0,0,0
2,NTfirst,BID,84,2,0.03467,3,2,0.56241,1,1,1
2,NTfirst,BID,85,2,0.1608,3,2,0.346675,1,1,1
2,NTfirst,BID,86,2,0.259755,3,2,0.27064,0,1,1
2,NTfirst,BID,87,1,0.071255,3,1,0.22486,1,0,0
2,NTfirst,BID,88,2,0.04525,3,1,0.31536,1,1,0
2,NTfirst,BID,89,2,0.14593,2,1,0.651415,0,0,1
2,NTfirst,BID,90,2,0.21331,3,1,0.58047,0,1,1
2,NTfirst,BID,91,1,0.396605,2,2,0.39607,1,1,0
2,NTfirst,BID,92,1,0.170985,3,2,0.885895,0,0,1
2,NTfirst,BID,93,1,0.075405,2,2,0.36726,0,1,1
2,NTfirst,BID,94,2,0.418205,3,1,0.24421,0,1,0
2,NTfirst,BID,95,2,0.00077,3,2,0.32595,0,1,1
2,NTfirst,BID,96,1,0.0185,3,1,0.233695,0,0,0
2,NTfirst,BID,97,1,0.387435,2,1,0.429765,1,1,1
2,NTfirst,BID,98,1,0.204345,3,2,0.701295,1,0,1
2,NTfirst,BID,99,2,0.51244,3,2,0.301325,1,1,0
2,NTfirst,BID,100,2,0.160505,3,2,0.392975,1,1,1
2,NTfirst,BID,101,2,0.12091,3,2,0.43405,0,1,1
2,NTfirst,BID,102,1,0.07333,2,1,0.536005,1,1,0
2,NTfirst,BID,103,1,0.1671,2,1,0.411505,1,1,1
2,NTfirst,BID,104,1,0.257355,2,1,0.323265,1,1,1
2,NTfirst,BID,105,1,0.088545,2,2,0.821415,0,1,1
2,NTfirst,BID,106,2,0.084,2,2,0.23699,1,0,0
2,NTfirst,BID,107,1,0.26175,3,2,0.26506,0,0,0
2,NTfirst,BID,108,1,0.00989,2,2,0.273825,1,1,1
2,NTfirst,BID,109,1,0.135345,2,2,0.357025,1,1,1
2,NTfirst,BID,110,1,0.26877,2,2,0.303895,0,1,1
2,NTfirst,BID,111,2,0.38643,2,1,0.69515,1,0,0
2,NTfirst,BID,112,1,0.260355,2,1,0.33994,0,1,0
2,NTfirst,BID,113,2,0.21413,3,1,0.418825,0,1,0
2,NTfirst,BID,114,2,0.14448,3,2,0.63314,1,1,1
2,NTfirst,BID,115,2,0.224315,3,2,0.357295,1,1,1
2,NTfirst,BID,116,2,0.20835,3,2,0.369705,1,1,1
