subject,missed_nt,missed_tr,total_reward_nt,total_reward_tr,total_reward,avg_rt1_nt,avg_rt2_nt,avg_rt_nt,avg_rt1_tr,avg_rt2_tr,avg_rt_tr,avg_rt1,avg_rt2,avg_rt
2,0,1,66,79,145,0.232536433333333,0.465479333333333,0.349007883333333,0.193893389261745,0.422277785234899,0.308085587248322,0.213279531772575,0.443950802675585,0.32861516722408
3,0,1,69,77,146,0.160501266666667,0.182786,0.171643633333333,0.2019422,0.332654328859061,0.267079682274247,0.181221733333333,0.257469548494983,0.219281994991653
6,0,0,83,72,155,0.246967466666667,0.411253333333333,0.3291104,0.1747518,0.304921866666667,0.239836833333333,0.210859633333333,0.3580876,0.284473616666667
7,0,0,63,82,145,0.32196,0.305293333333333,0.313626666666667,0.27424,0.21178,0.24301,0.2981,0.258536666666667,0.278318333333333
10,3,2,84,81,165,0.360774797297297,0.534621598639456,0.447403542372881,0.389904527027027,0.567590472972973,0.4787475,0.375339662162162,0.551161915254237,0.46310203891709
11,1,3,79,75,154,0.386860939597315,0.416104093959731,0.401482516778523,0.484527278911564,0.493218571428572,0.488872925170068,0.435364155405405,0.454400810810811,0.444882483108109
12,1,0,73,93,166,0.272162684563758,0.264942181208054,0.268552432885906,0.234705466666667,0.239356533333333,0.237031,0.253371438127091,0.252106571906354,0.252739005016722
13,0,1,75,77,152,0.230923866666667,0.4634891,0.347206483333333,0.259467133333333,0.552551577181208,0.405519247491639,0.2451955,0.507871404682274,0.376314190317195
14,0,0,89,77,166,0.386101,0.508823066666667,0.447462033333333,0.308298366666667,0.445705133333333,0.37700175,0.347199683333333,0.477264100000001,0.412231891666667
15,4,1,92,76,168,0.250815966666667,0.198545787671233,0.225034054054054,0.139746174496644,0.0573904362416107,0.0985683053691276,0.195466806020067,0.127250372881356,0.161588274410774
16,0,2,88,87,175,0.348470266666667,0.281914066666667,0.315192166666667,0.438444733333334,0.540321351351352,0.489041174496644,0.3934575,0.410250570469799,0.401825953177257
17,0,0,91,92,183,0.270674133333333,0.359671366666667,0.31517275,0.244085133333333,0.234956266666667,0.2395207,0.257379633333333,0.297313816666667,0.277346725
18,2,0,90,67,157,0.519973243243243,0.570958445945946,0.545465844594595,0.354097066666667,0.529040366666667,0.441568716666667,0.436478523489933,0.549858741610739,0.493168632550336
19,1,0,82,71,153,0.438033791946309,0.550367416107383,0.494200604026845,0.462890133333333,0.5312091,0.497049616666667,0.450503528428094,0.540756220735786,0.49562987458194
20,3,1,79,78,157,0.269018817621622,0.552445034102041,0.410251542444068,0.221182700013333,0.404210100671141,0.31239033445485,0.244940234932886,0.477826773692567,0.36099143943266
22,0,1,83,61,144,0.173597066666667,0.0987976333333333,0.13619735,0.2655049,0.221799496644295,0.243725284280936,0.219550983333333,0.160092876254181,0.189871560934891
23,0,2,82,60,142,0.136593933333333,0.0924047333333333,0.114499333333333,0.121937939189189,0.101071554054054,0.111504746621622,0.129315117449664,0.0967090604026845,0.113012088926174
24,0,1,76,70,146,0.240002633333333,0.356244966666667,0.2981238,0.34193177852349,0.395722348993289,0.368827063758389,0.290796755852843,0.375917642140468,0.333357198996656
25,0,0,79,77,156,0.2413652,0.3732,0.3072826,0.239070666666667,0.407598266666667,0.323334466666667,0.240217933333333,0.390399133333333,0.315308533333333
26,2,0,99,75,174,0.244708825503356,0.288926486486487,0.266743215488215,0.302828633333333,0.4512822,0.377055416666667,0.273865919732441,0.370649161073826,0.32217648241206
27,1,1,76,68,144,0.226421308724832,0.230048053691275,0.228234681208054,0.291051733333333,0.291675,0.291362324414716,0.258844598662207,0.260861526845638,0.259851373534338
28,2,1,85,78,163,0.265671140939597,0.465702702702703,0.365350168350169,0.258986666666667,0.429302013422819,0.343859531772575,0.262317725752508,0.447441077441078,0.354568791946309
29,3,0,74,77,151,0.258076633333333,0.550065544217687,0.402596397306397,0.2159131,0.302439033333333,0.259176066666667,0.236994866666666,0.42500164983165,0.330525879396985
30,0,3,66,80,146,0.30182,0.354353333333333,0.328086666666667,0.308408163265306,0.386673469387755,0.347540816326531,0.305080808080808,0.370350168350168,0.337715488215489
